#generated on Tue Mar  1 18:22:09 2016 using mklcbol.pro
#
#INFILE   SN2007bm_bol.dat
#NAME     SN2007bm
#AV_HOST  1.879 +/- 0.078
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.108 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.300 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54224.160   2.11258356E+43   2.28337035E+42
 54227.141   2.01429901E+43   2.17692547E+42
 54229.066   1.87035348E+43   2.02108142E+42
 54231.148   1.65837048E+43   1.79197161E+42
 54235.078   1.23507359E+43   1.33383430E+42
 54239.098   8.73640488E+42   9.41574171E+41
 54241.039   7.58537982E+42   8.16343009E+41
 54249.035   4.55006104E+42   4.87342223E+41
 54255.059   3.18333843E+42   3.40622494E+41
 54259.047   2.51442546E+42   2.69256200E+41
