#generated on Tue Mar  1 18:22:26 2016 using mklcbol.pro
#
#INFILE   SN2007on_bol.dat
#NAME     SN2007on
#AV_HOST  0.186 +/- 0.034
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.031 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.450 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54411.285   1.87047298E+42   3.17690028E+41
 54413.312   3.04282401E+42   5.16796466E+41
 54417.207   4.64499661E+42   7.89040953E+41
 54418.242   4.84030598E+42   8.22360485E+41
 54421.207   5.02688324E+42   8.54094946E+41
 54422.219   4.76637609E+42   8.09730439E+41
 54423.203   4.50442642E+42   7.65025177E+41
 54425.223   3.87875754E+42   6.58265171E+41
 54426.156   3.53731049E+42   5.99997170E+41
 54427.180   3.16265461E+42   5.35981266E+41
 54428.215   2.81417927E+42   4.76431525E+41
 54429.184   2.53560007E+42   4.28794577E+41
 54430.168   2.30583755E+42   3.89407400E+41
 54435.160   1.48301907E+42   2.49053121E+41
 54440.188   9.63100308E+41   1.61515235E+41
 54443.223   7.73570992E+41   1.29820123E+41
 54445.223   6.91144884E+41   1.16042892E+41
 54447.148   6.28113155E+41   1.05505894E+41
 54449.195   5.74715880E+41   9.65734729E+40
 54453.137   4.97476772E+41   8.36531419E+40
 54455.113   4.65351179E+41   7.82805497E+40
 54456.152   4.50405671E+41   7.57799240E+40
 54457.121   4.36513778E+41   7.34549744E+40
 54458.184   4.22063145E+41   7.10358603E+40
 54462.223   3.72810202E+41   6.27877425E+40
 54467.129   3.21731069E+41   5.42271057E+40
 54468.133   3.13918930E+41   5.29288796E+40
 54470.086   2.97284111E+41   5.01403684E+40
 54472.109   2.81063562E+41   4.74157959E+40
 54475.109   2.59227290E+41   4.37568881E+40
 54476.137   2.52815176E+41   4.26861303E+40
 54484.086   2.04940066E+41   3.46634042E+40
 54488.074   1.83241057E+41   3.10098899E+40
 54490.070   1.74723019E+41   2.95811118E+40
 54494.109   1.59663547E+41   2.70538790E+40
 54497.109   1.47458066E+41   2.49968319E+40
 54499.098   1.40042217E+41   2.37472146E+40
 54508.098   1.11868385E+41   1.90032982E+40
