#generated on Fri Aug 21 13:06:53 2015 using mklcbol.pro
#
#INFILE   SN2006mr_bol.dat
#NAME     SN2006mr
#AV_HOST  0.140 +/- 0.060
#RV_HOST  2.100 +/- 0.000
#AV_MW    0.056 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.150 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54046.164   2.96032358E+41   8.34273851E+40
 54048.301   4.74324821E+41   1.33424938E+41
 54049.207   5.30604546E+41   1.49065056E+41
 54052.242   5.64491658E+41   1.57447084E+41
 54056.230   4.22417693E+41   1.16788193E+41
 54060.258   2.81084762E+41   7.73943685E+40
 54065.246   1.77936022E+41   4.90918491E+40
 54066.312   1.65330533E+41   4.56266728E+40
 54068.250   1.45689824E+41   4.02392443E+40
 54071.156   1.21993058E+41   3.37453222E+40
 54073.211   1.09319149E+41   3.02702854E+40
 54076.211   9.45633596E+40   2.62255838E+40
 54080.258   7.84093512E+40   2.17909959E+40
 54084.164   6.66257945E+40   1.85447717E+40
 54087.121   5.96154494E+40   1.66104410E+40
 54092.156   4.83457795E+40   1.35038706E+40
 54096.145   4.03498601E+40   1.12933722E+40
 54099.113   3.64485881E+40   1.02085319E+40
 54100.133   3.57619461E+40   1.00256496E+40
