#generated on Fri Aug 21 13:03:40 2015 using mklcbol.pro
#
#INFILE   SN2008R_bol.dat
#NAME     SN2008R
#AV_HOST  0.028 +/- 0.040
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.192 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.731 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54493.117   4.36090590E+42   7.65647245E+41
 54494.070   4.43193023E+42   7.78125673E+41
 54497.082   4.12357410E+42   7.23556020E+41
 54499.070   3.57445137E+42   6.26463726E+41
 54508.062   1.61257206E+42   2.80316204E+41
 54512.039   1.16550584E+42   2.01901175E+41
 54515.066   9.00203781E+41   1.55786931E+41
 54517.066   7.61528925E+41   1.31791636E+41
 54519.047   6.59866448E+41   1.14265465E+41
 54521.023   5.84897091E+41   1.01329188E+41
 54523.008   5.29761585E+41   9.18035941E+40
 54527.004   4.53420104E+41   7.86336508E+40
