#generated on Tue Mar 22 18:17:18 2016 using mklcbol.pro
#
#INFILE   SN2006D_bol.dat
#NAME     SN2006D
#AV_HOST  0.228 +/- 0.043
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.121 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.900 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53753.371   8.52719605E+42   1.36641632E+42
 53754.254   8.97245414E+42   1.44047698E+42
 53756.367   9.60421597E+42   1.54656187E+42
 53758.371   9.45915640E+42   1.52753816E+42
 53760.289   8.60373771E+42   1.39232552E+42
 53761.297   8.15825582E+42   1.32022840E+42
 53762.301   7.66797910E+42   1.24071920E+42
 53763.297   7.10133141E+42   1.14888827E+42
 53764.340   6.49659610E+42   1.05086856E+42
 53765.324   5.94424736E+42   9.61334540E+41
 53767.348   4.97755263E+42   8.03707298E+41
 53771.277   3.71756090E+42   5.95368184E+41
 53772.309   3.48693945E+42   5.56593773E+41
 53773.223   3.32131851E+42   5.28940675E+41
 53774.324   3.14989586E+42   4.99982645E+41
 53776.359   2.88844610E+42   4.55551792E+41
 53778.379   2.68383471E+42   4.20973788E+41
 53779.395   2.58243926E+42   4.03882954E+41
 53781.238   2.41582909E+42   3.76379142E+41
 53782.359   2.29078919E+42   3.56048059E+41
 53783.234   2.17838840E+42   3.38219353E+41
 53785.332   1.88548016E+42   2.92489242E+41
 53786.371   1.73556764E+42   2.69657536E+41
 53788.367   1.52122074E+42   2.36568975E+41
 53789.340   1.43035784E+42   2.22739041E+41
 53790.316   1.35119820E+42   2.10621654E+41
 53795.344   1.06395047E+42   1.66798057E+41
 53796.348   1.02251020E+42   1.60480576E+41
 53798.309   9.58318946E+41   1.50788406E+41
 53799.309   9.23015614E+41   1.45389364E+41
 53800.355   8.87243669E+41   1.39903850E+41
 53802.309   8.30965559E+41   1.31260759E+41
 53803.375   8.01967016E+41   1.26826083E+41
 53804.352   7.77197683E+41   1.23012597E+41
 53805.305   7.56917125E+41   1.19899977E+41
 53807.277   7.17352061E+41   1.13770844E+41
 53809.250   6.76735773E+41   1.07478770E+41
 53813.285   6.01909095E+41   9.58844137E+40
 53815.238   5.66428061E+41   9.03480807E+40
 53817.363   5.31204921E+41   8.48500188E+40
 53818.309   5.16224050E+41   8.24996138E+40
 53819.297   5.02060348E+41   8.02979761E+40
 53824.266   4.36749498E+41   7.00847216E+40
 53828.344   3.89916282E+41   6.26836116E+40
 53831.230   3.61289245E+41   5.81641861E+40
 53835.242   3.27172238E+41   5.27575749E+40
 53840.176   2.95693504E+41   4.77736649E+40
