#generated on Tue Mar 22 18:17:27 2016 using mklcbol.pro
#
#INFILE   SN2006X_bol.dat
#NAME     SN2006X
#AV_HOST  2.312 +/- 0.044
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.071 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.910 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53776.328   4.46070605E+42   7.12805844E+41
 53777.332   5.47096004E+42   8.75452336E+41
 53778.352   6.52896312E+42   1.04611852E+42
 53779.344   7.52341196E+42   1.20705415E+42
 53780.367   8.40400269E+42   1.34959046E+42
 53782.336   9.65898993E+42   1.55400564E+42
 53783.215   9.84890421E+42   1.58536592E+42
 53784.324   1.01094102E+43   1.62848110E+42
 53785.301   1.02321126E+43   1.64927101E+42
 53786.324   1.02476946E+43   1.65262165E+42
 53787.332   1.01619914E+43   1.63981822E+42
 53788.312   1.00026086E+43   1.61441659E+42
 53789.309   9.74674665E+42   1.57369309E+42
 53790.293   9.32801200E+42   1.50660266E+42
 53795.277   6.87448152E+42   1.11224554E+42
 53796.320   6.37266326E+42   1.03176304E+42
 53797.309   5.93124269E+42   9.59999109E+41
 53798.289   5.46885550E+42   8.84767168E+41
 53799.285   5.13713151E+42   8.30592839E+41
 53800.324   4.85538286E+42   7.84236796E+41
 53802.277   4.44891803E+42   7.17287888E+41
 53803.293   4.28949587E+42   6.90811313E+41
 53804.266   4.17459842E+42   6.71658697E+41
 53805.223   4.08912268E+42   6.57313212E+41
 53807.254   3.91561743E+42   6.28243344E+41
 53808.297   3.81539182E+42   6.11432797E+41
 53809.227   3.72367491E+42   5.96045129E+41
 53810.262   3.61744311E+42   5.77917660E+41
 53813.250   3.23179540E+42   5.13921180E+41
 53815.215   2.92020484E+42   4.63295940E+41
 53817.320   2.55407193E+42   4.05173614E+41
 53818.277   2.36683337E+42   3.75268488E+41
 53819.250   2.24217816E+42   3.55524399E+41
 53820.234   2.12494137E+42   3.37323586E+41
 53824.234   1.77182680E+42   2.82072761E+41
 53826.266   1.63976621E+42   2.61420190E+41
 53829.230   1.48863580E+42   2.37801259E+41
 53830.234   1.44712183E+42   2.31317120E+41
 53831.195   1.41609296E+42   2.26520460E+41
 53832.266   1.37125684E+42   2.19501356E+41
 53833.246   1.33142122E+42   2.13270323E+41
 53835.152   1.26368038E+42   2.02606526E+41
 53838.188   1.15086494E+42   1.84765003E+41
 53839.172   1.11982289E+42   1.79873722E+41
 53841.215   1.07265757E+42   1.72534262E+41
