#generated on Tue Mar 22 18:18:10 2016 using mklcbol.pro
#
#INFILE   SN2006hb_bol.dat
#NAME     SN2006hb
#AV_HOST  0.049 +/- 0.031
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.074 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.114 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54013.305   3.63291731E+42   8.50652596E+41
 54014.348   3.42141767E+42   7.96410855E+41
 54015.234   3.26606717E+42   7.55487749E+41
 54017.352   2.91556248E+42   6.66949623E+41
 54018.344   2.77726611E+42   6.32448114E+41
 54020.371   2.52229191E+42   5.69790160E+41
 54021.316   2.42622940E+42   5.44670916E+41
 54025.328   1.86094917E+42   4.13684313E+41
 54027.367   1.64347603E+42   3.64482689E+41
 54029.320   1.43249496E+42   3.17489486E+41
 54038.340   8.98257627E+41   2.02158169E+41
 54040.293   8.27938856E+41   1.87360311E+41
 54041.273   7.93085135E+41   1.80298420E+41
 54042.289   7.66952648E+41   1.74653139E+41
 54043.242   7.41972639E+41   1.69215660E+41
 54049.309   6.05496802E+41   1.39168120E+41
 54057.297   4.73673120E+41   1.09666178E+41
 54063.305   3.99831031E+41   9.29346070E+40
