#generated on Tue Mar 22 18:20:37 2016 using mklcbol.pro
#
#INFILE   SN2007bd_bol.dat
#NAME     SN2007bd
#AV_HOST  0.099 +/- 0.037
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.090 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.734 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54198.039   6.31572356E+42   1.28373931E+42
 54199.035   7.64773800E+42   1.55945144E+42
 54201.043   1.02353362E+43   2.09842755E+42
 54205.082   1.25053464E+43   2.58631445E+42
 54206.098   1.17878839E+43   2.43895006E+42
 54207.039   1.17090795E+43   2.42290307E+42
 54207.969   1.14294701E+43   2.36644310E+42
 54212.992   8.73152309E+42   1.81203917E+42
 54218.012   5.98631838E+42   1.23624062E+42
 54220.000   5.19601079E+42   1.06903250E+42
 54222.969   4.34656116E+42   8.87488997E+41
 54223.992   4.25758902E+42   8.63289061E+41
 54224.965   4.06198115E+42   8.20476746E+41
 54227.047   3.75504299E+42   7.52149027E+41
 54227.977   3.63246846E+42   7.25404543E+41
 54234.980   2.53226980E+42   4.97243226E+41
 54238.977   2.03792357E+42   3.98510472E+41
 54243.973   1.57353067E+42   3.06931364E+41
 54244.973   1.55608696E+42   3.04066796E+41
 54246.984   1.44088431E+42   2.81787074E+41
