#generated on Tue Mar 22 18:23:02 2016 using mklcbol.pro
#
#INFILE   SN2008fp_bol.dat
#NAME     SN2008fp
#AV_HOST  0.983 +/- 0.041
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.524 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.770 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54725.320   1.08526385E+43   1.31842436E+42
 54726.320   1.14830315E+43   1.39641207E+42
 54727.332   1.19503589E+43   1.45453917E+42
 54728.316   1.21239191E+43   1.47608411E+42
 54729.301   1.21854603E+43   1.48395939E+42
 54730.367   1.21331818E+43   1.47811238E+42
 54731.387   1.19997817E+43   1.46240428E+42
 54732.301   1.17760900E+43   1.43552101E+42
 54733.379   1.14533278E+43   1.39648115E+42
 54737.391   9.72629968E+42   1.18744886E+42
 54740.301   8.05508093E+42   9.84408950E+41
 54741.387   7.50635598E+42   9.17535713E+41
 54743.383   6.54647820E+42   7.99315457E+41
 54744.312   5.95685752E+42   7.27138371E+41
 54745.348   5.54898970E+42   6.76207469E+41
 54747.305   4.93451965E+42   5.98663804E+41
 54749.305   4.46379956E+42   5.38956387E+41
 54751.281   4.13810455E+42   4.97083480E+41
 54752.285   4.00046396E+42   4.79168891E+41
 54753.367   3.87519429E+42   4.62784713E+41
 54756.301   3.57784379E+42   4.23972932E+41
 54758.254   3.38624755E+42   3.99418060E+41
 54759.344   3.28672348E+42   3.86710635E+41
 54760.301   3.15222869E+42   3.70234940E+41
 54764.340   2.54857742E+42   2.99028483E+41
 54765.324   2.40147590E+42   2.81703777E+41
 54768.312   2.06254843E+42   2.41936644E+41
 54770.285   1.88880435E+42   2.21646404E+41
 54775.320   1.55050677E+42   1.82768338E+41
 54779.320   1.36620233E+42   1.61613066E+41
 54781.316   1.28542657E+42   1.52283925E+41
 54783.293   1.21255591E+42   1.43845027E+41
 54790.320   9.97198324E+41   1.18813487E+41
 54792.258   9.45864714E+41   1.12832063E+41
 54794.293   8.97612075E+41   1.07199544E+41
 54795.254   8.77731807E+41   1.04888871E+41
 54796.273   8.55578027E+41   1.02302149E+41
 54797.348   8.32400791E+41   9.95806965E+40
 54799.316   7.92934642E+41   9.49480318E+40
