#generated on Tue Mar 22 18:23:17 2016 using mklcbol.pro
#
#INFILE   SN2008hv_bol.dat
#NAME     SN2008hv
#AV_HOST  0.126 +/- 0.039
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.847 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54806.281   2.79240135E+42   5.48336102E+41
 54808.297   5.37509740E+42   1.06114301E+42
 54809.285   6.70918014E+42   1.32570265E+42
 54810.289   7.86929266E+42   1.55622138E+42
 54811.293   8.87742674E+42   1.75737891E+42
 54812.270   9.72775380E+42   1.92936331E+42
 54813.285   1.03229713E+43   2.05211429E+42
 54815.328   1.10312409E+43   2.20198491E+42
 54817.262   1.07741720E+43   2.15445767E+42
 54818.258   1.04518286E+43   2.09294175E+42
 54822.305   8.38878813E+42   1.68673174E+42
 54827.250   5.83584430E+42   1.17110582E+42
 54828.285   5.38433120E+42   1.07916279E+42
 54829.234   5.00724641E+42   1.00111976E+42
 54830.227   4.61582034E+42   9.19905878E+41
 54831.262   4.31565804E+42   8.56744630E+41
 54833.266   3.88488896E+42   7.63445781E+41
 54834.320   3.69727279E+42   7.23153388E+41
 54837.297   3.34944511E+42   6.47340035E+41
 54838.293   3.23454008E+42   6.22785450E+41
 54839.180   3.11937819E+42   5.98329455E+41
 54840.230   2.96625589E+42   5.66952658E+41
 54841.234   2.80261088E+42   5.34150923E+41
 54842.348   2.61169544E+42   4.96638636E+41
 54844.273   2.32060452E+42   4.40333040E+41
 54849.273   1.73068540E+42   3.29942397E+41
 54854.270   1.35235787E+42   2.58717616E+41
 54856.246   1.24956803E+42   2.39574390E+41
 54867.203   8.67763729E+41   1.68289378E+41
 54868.148   8.42090038E+41   1.63535772E+41
 54870.164   7.92786776E+41   1.54233197E+41
 54874.129   7.09406550E+41   1.38389944E+41
 54875.137   6.90716346E+41   1.34844062E+41
 54878.141   6.43060944E+41   1.25730214E+41
 54884.164   5.54226710E+41   1.08645047E+41
 54887.160   5.16096625E+41   1.01127465E+41
 54889.168   4.90423200E+41   9.61676657E+40
 54895.078   4.21166281E+41   8.28222982E+40
