#generated on Tue Apr 19 17:52:36 2016 using mklcbol.pro
#
#INFILE   SN2005ki_bol.dat
#NAME     SN2005ki
#AV_HOST  0.027 +/- 0.022
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.084 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.738 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53695.352   2.72774542E+42   5.67817944E+41
 53702.320   8.05998367E+42   1.67853879E+42
 53703.348   8.36421022E+42   1.74027445E+42
 53706.336   8.37561343E+42   1.73511338E+42
 53707.344   8.16855546E+42   1.68986358E+42
 53712.328   6.20501863E+42   1.27874435E+42
 53713.352   5.71854289E+42   1.17768062E+42
 53716.348   4.35172868E+42   8.91810574E+41
 53720.316   3.09037418E+42   6.21838246E+41
 53721.336   2.87116789E+42   5.74899709E+41
 53728.344   1.72518183E+42   3.36688462E+41
 53730.344   1.47658998E+42   2.87549589E+41
 53736.305   1.00149941E+42   1.95573860E+41
 53738.348   9.19038569E+41   1.79712798E+41
 53740.348   8.53438581E+41   1.67165437E+41
 53741.312   8.21357884E+41   1.60983795E+41
 53745.262   7.26478010E+41   1.42541270E+41
 53748.254   6.77122748E+41   1.33208487E+41
 53751.289   6.28311299E+41   1.24001380E+41
 53752.277   6.11491573E+41   1.20784449E+41
 53754.242   5.80987551E+41   1.14768567E+41
 53761.262   4.76578189E+41   9.45376133E+40
 53762.270   4.68195754E+41   9.30026016E+40
 53763.266   4.61929503E+41   9.18291028E+40
 53764.277   4.51046305E+41   8.97496778E+40
 53765.262   4.39582217E+41   8.75487812E+40
 53771.238   3.82748729E+41   7.66152969E+40
 53772.328   3.68591505E+41   7.37610490E+40
 53774.230   3.57709397E+41   7.16935263E+40
 53775.102   3.51641702E+41   7.05149287E+40
 53778.238   3.29546017E+41   6.61708386E+40
 53783.184   2.97697503E+41   5.99729414E+40
 53784.242   2.90352094E+41   5.85478567E+40
