#generated on Tue Apr 19 17:56:50 2016 using mklcbol.pro
#
#INFILE   SN2007nq_bol.dat
#NAME     SN2007nq
#AV_HOST  0.078 +/- 0.022
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.096 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.445 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54397.133   8.00510063E+42   1.23283395E+42
 54400.148   7.69105109E+42   1.17965648E+42
 54403.086   6.75837385E+42   1.03330772E+42
 54407.230   4.92131104E+42   7.48364534E+41
 54409.125   4.12527037E+42   6.24759991E+41
 54411.102   3.43157082E+42   5.16244073E+41
 54413.109   2.87212990E+42   4.28884828E+41
 54421.105   1.51057095E+42   2.21593375E+41
 54422.121   1.40170545E+42   2.05560489E+41
 54423.098   1.29733242E+42   1.90155287E+41
 54427.152   9.68926557E+41   1.41804354E+41
 54430.105   8.42859395E+41   1.23719056E+41
 54435.051   7.24682965E+41   1.06810013E+41
 54440.078   6.36143124E+41   9.39935156E+40
 54443.145   5.95325513E+41   8.81860653E+40
 54445.102   5.62325342E+41   8.33582173E+40
