#generated on Tue Apr 19 17:57:10 2016 using mklcbol.pro
#
#INFILE   SN2008C_bol.dat
#NAME     SN2008C
#AV_HOST  0.459 +/- 0.078
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.223 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.349 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54469.305   9.11673188E+42   1.48741669E+42
 54470.168   9.01013324E+42   1.46732033E+42
 54475.148   6.91882860E+42   1.12278810E+42
 54476.160   6.35012857E+42   1.02999785E+42
 54478.152   5.27302018E+42   8.54056324E+41
 54480.152   4.53109660E+42   7.31538291E+41
 54484.102   3.46760503E+42   5.54885395E+41
 54488.145   2.71729394E+42   4.32117505E+41
 54492.129   2.17257626E+42   3.43972472E+41
 54497.121   1.49035274E+42   2.34702312E+41
