#generated on Tue Apr 19 17:57:35 2016 using mklcbol.pro
#
#INFILE   SN2008hv_bol.dat
#NAME     SN2008hv
#AV_HOST  0.126 +/- 0.039
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.847 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54806.281   2.07601797E+42   4.25266710E+41
 54808.297   4.01804458E+42   8.25709377E+41
 54809.285   5.01838618E+42   1.03173738E+42
 54810.289   5.91891626E+42   1.21745391E+42
 54813.285   8.03458189E+42   1.65397515E+42
 54817.262   8.75413250E+42   1.79921908E+42
 54818.258   8.57698610E+42   1.76298493E+42
 54827.250   4.89446902E+42   1.00136222E+42
 54830.227   3.74868801E+42   7.62292637E+41
 54831.262   3.43761704E+42   6.97011109E+41
 54834.320   2.72981606E+42   5.48559297E+41
 54837.297   2.27246383E+42   4.52948527E+41
 54838.293   2.12015291E+42   4.21510280E+41
 54839.180   1.98165077E+42   3.93374910E+41
 54840.230   1.82655063E+42   3.61947608E+41
 54841.234   1.68555990E+42   3.33628227E+41
 54842.348   1.54876093E+42   3.06435617E+41
 54844.273   1.36917646E+42   2.70994066E+41
 54856.246   7.91426460E+41   1.57293153E+41
 54867.203   5.83764847E+41   1.16571105E+41
 54870.164   5.42992623E+41   1.08597233E+41
 54874.129   4.95095006E+41   9.91790892E+40
 54878.141   4.54520201E+41   9.11602448E+40
 54884.164   3.97948285E+41   7.99923476E+40
 54895.078   3.10524227E+41   6.27880075E+40
