#generated on Tue Apr 19 18:11:05 2016 using mklcbol.pro
#
#INFILE   SN2009F_bol.dat
#NAME     SN2009F
#AV_HOST  0.184 +/- 0.080
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.276 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.735 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54840.066   1.22423902E+42   2.26603606E+41
 54841.086   1.31934175E+42   2.43219713E+41
 54842.055   1.36601854E+42   2.50957606E+41
 54845.160   1.23407119E+42   2.23596161E+41
 54848.156   9.74160178E+41   1.74538816E+41
 54855.184   4.60305819E+41   8.14754986E+40
 54856.148   4.21901485E+41   7.46867785E+40
 54859.164   3.39800676E+41   6.03050515E+40
 54867.133   2.15523222E+41   3.85395865E+40
 54870.105   1.89351292E+41   3.38990798E+40
 54871.133   1.81832437E+41   3.25995746E+40
 54872.137   1.74115344E+41   3.12725130E+40
 54873.078   1.66542297E+41   2.99587002E+40
 54879.133   1.33311656E+41   2.40972459E+40
 54884.113   1.09109678E+41   1.97366269E+40
