#generated on Mon Dec 21 09:50:51 2015 using mklcbol.pro
#
#INFILE   SN2004ey_bol.dat
#NAME     SN2004ey
#AV_HOST  0.059 +/- 0.062
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.369 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.009 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53301.027   1.10235261E+43   1.58654402E+42
 53302.043   1.13037520E+43   1.62795236E+42
 53303.039   1.14586113E+43   1.65113156E+42
 53304.055   1.14514371E+43   1.65077166E+42
 53305.035   1.12576127E+43   1.62329237E+42
 53306.098   1.09303242E+43   1.57760814E+42
 53307.074   1.06148031E+43   1.53247037E+42
 53308.043   1.02760589E+43   1.48382425E+42
 53309.043   9.89124698E+42   1.42849355E+42
 53310.043   9.45444276E+42   1.36555452E+42
 53311.008   8.97021176E+42   1.29632252E+42
 53312.027   8.42630099E+42   1.21783248E+42
 53314.051   7.29965552E+42   1.05486603E+42
 53315.047   6.78071851E+42   9.79688122E+41
 53320.027   4.81889456E+42   6.94948946E+41
 53327.055   3.45953504E+42   4.96571069E+41
 53328.031   3.41723689E+42   4.90427182E+41
 53330.074   3.19691057E+42   4.58542246E+41
 53331.016   3.10442735E+42   4.45171353E+41
 53335.023   2.70387448E+42   3.87055176E+41
 53337.016   2.49358621E+42   3.56378405E+41
 53338.039   2.37455076E+42   3.37993547E+41
 53339.039   2.23166059E+42   3.17366842E+41
 53340.039   2.09266747E+42   2.97326106E+41
 53342.016   1.87641451E+42   2.66739007E+41
 53344.023   1.70675511E+42   2.42846291E+41
 53346.035   1.55986064E+42   2.22157650E+41
 53348.027   1.44517423E+42   2.06082250E+41
 53350.031   1.34866228E+42   1.92589311E+41
 53351.027   1.30646211E+42   1.86692395E+41
 53352.031   1.26757585E+42   1.81265660E+41
