#generated on Tue Dec 15 12:41:29 2015 using mklcbol.pro
#
#INFILE   SN2004gu_bol.dat
#NAME     SN2004gu
#AV_HOST  0.298 +/- 0.105
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.068 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.593 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53378.352   6.87926822E+42   1.87118804E+42
 53380.340   6.13435351E+42   1.66591178E+42
 53381.328   5.80195717E+42   1.57435370E+42
 53384.312   5.23129218E+42   1.41694967E+42
 53385.344   5.02318254E+42   1.35930165E+42
 53386.301   4.85621293E+42   1.31316110E+42
 53387.285   4.72934740E+42   1.27784684E+42
 53388.312   4.65021117E+42   1.25553876E+42
 53390.336   4.43582111E+42   1.19588955E+42
 53391.309   4.36107048E+42   1.17501670E+42
 53392.367   4.27776895E+42   1.14885774E+42
 53393.316   4.19531940E+42   1.12542399E+42
 53394.305   4.10518255E+42   1.10003547E+42
