#generated on Tue Dec 15 12:41:50 2015 using mklcbol.pro
#
#INFILE   SN2005al_bol.dat
#NAME     SN2005al
#AV_HOST  0.068 +/- 0.040
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.149 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.798 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53433.352   7.80186056E+42   1.39417095E+42
 53436.285   6.64037853E+42   1.18992654E+42
 53444.305   3.48343336E+42   6.23715047E+41
 53445.309   3.27683803E+42   5.86295183E+41
 53446.316   3.11178677E+42   5.56296078E+41
 53447.297   2.98162526E+42   5.32453078E+41
 53450.320   2.66895800E+42   4.74912991E+41
 53452.254   2.54682489E+42   4.51947784E+41
 53453.191   2.46660650E+42   4.36847340E+41
 53454.238   2.36655856E+42   4.17460718E+41
 53455.281   2.24174311E+42   3.94861709E+41
 53456.285   2.11680370E+42   3.72441176E+41
 53457.258   1.97380002E+42   3.46907710E+41
 53458.254   1.82900425E+42   3.21216594E+41
 53459.281   1.69519746E+42   2.97674267E+41
 53460.215   1.58495551E+42   2.78439551E+41
 53461.188   1.48592729E+42   2.61333713E+41
 53462.250   1.38945068E+42   2.44800089E+41
