#generated on Tue Dec 15 12:48:50 2015 using mklcbol.pro
#
#INFILE   SN2006et_bol.dat
#NAME     SN2006et
#AV_HOST  0.406 +/- 0.000
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.051 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 34.820 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53986.199   9.71006560E+42   1.29894797E+42
 53987.359   1.08589263E+43   1.45271238E+42
 53988.070   1.14728740E+43   1.53516773E+42
 53991.152   1.31863142E+43   1.76718318E+42
 53993.148   1.35207905E+43   1.81654013E+42
 53994.223   1.32722776E+43   1.78339391E+42
 53995.176   1.30809385E+43   1.75873507E+42
 53998.180   1.19330944E+43   1.60573650E+42
 53999.301   1.14146530E+43   1.53692623E+42
 54001.121   1.05415655E+43   1.41978881E+42
 54002.109   1.00004417E+43   1.34796349E+42
 54003.133   9.33480735E+42   1.25881931E+42
 54006.148   7.69539300E+42   1.03732186E+42
 54007.160   7.14218275E+42   9.62246475E+41
 54008.133   6.70053731E+42   9.02153608E+41
 54012.023   5.36090469E+42   7.18490920E+41
 54013.109   5.16175822E+42   6.90444837E+41
 54017.266   4.48332975E+42   5.95862416E+41
 54021.168   3.98200698E+42   5.23850779E+41
 54023.215   3.68146661E+42   4.82553716E+41
 54024.059   3.60496156E+42   4.71951285E+41
 54025.172   3.50318041E+42   4.58002437E+41
 54029.184   2.90500748E+42   3.78035067E+41
 54030.133   2.77575643E+42   3.61120989E+41
 54033.188   2.35155165E+42   3.05662350E+41
 54037.191   1.96196925E+42   2.56104127E+41
 54039.160   1.87127305E+42   2.44743909E+41
 54044.121   1.62100106E+42   2.12907935E+41
 54046.062   1.52067190E+42   2.00038157E+41
 54049.141   1.36214057E+42   1.79601572E+41
