#generated on Tue Dec 15 12:44:51 2015 using mklcbol.pro
#
#INFILE   SN2007ba_bol.dat
#NAME     SN2007ba
#AV_HOST  0.465 +/- 0.081
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.099 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.183 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54194.332   9.48129091E+42   1.48527071E+42
 54196.324   1.00693698E+43   1.57874070E+42
 54197.336   1.01633264E+43   1.59358735E+42
 54198.285   1.01115837E+43   1.58558889E+42
 54200.340   9.63386070E+42   1.51009743E+42
 54202.367   8.47685433E+42   1.32672660E+42
 54203.332   7.89007184E+42   1.23376475E+42
 54205.277   6.77335801E+42   1.05726637E+42
 54207.277   5.80783248E+42   9.05122966E+41
 54208.316   5.41515361E+42   8.43352057E+41
 54211.297   4.57677747E+42   7.12369722E+41
 54213.262   4.09389087E+42   6.37305860E+41
 54217.277   3.25319295E+42   5.06346684E+41
 54218.332   2.92271223E+42   4.54492404E+41
