#generated on Tue Dec 15 12:45:13 2015 using mklcbol.pro
#
#INFILE   SN2007bm_bol.dat
#NAME     SN2007bm
#AV_HOST  1.879 +/- 0.078
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.108 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.300 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54224.160   2.52845998E+43   2.72395934E+42
 54227.141   2.39614397E+43   2.58311668E+42
 54228.031   2.31813991E+43   2.50090695E+42
 54229.066   2.21551508E+43   2.39074110E+42
 54231.148   1.95708340E+43   2.11263116E+42
 54233.051   1.71621240E+43   1.85362949E+42
 54235.078   1.47226686E+43   1.58999462E+42
 54237.102   1.27213909E+43   1.37284246E+42
 54239.098   1.10627437E+43   1.19294146E+42
 54241.039   9.99766321E+42   1.07726301E+42
 54244.098   8.81004717E+42   9.47028469E+41
 54249.035   7.12178031E+42   7.63514121E+41
 54254.078   5.54909460E+42   5.93362365E+41
 54255.059   5.24869668E+42   5.60958207E+41
 54259.047   4.08512861E+42   4.35753346E+41
