#generated on Tue Dec 15 12:45:49 2015 using mklcbol.pro
#
#INFILE   SN2008C_bol.dat
#NAME     SN2008C
#AV_HOST  0.837 +/- 0.143
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.223 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.349 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54471.207   1.47795636E+43   2.23228898E+42
 54473.199   1.34737795E+43   2.03532313E+42
 54475.148   1.17196596E+43   1.77126871E+42
 54476.160   1.07473004E+43   1.62444357E+42
 54477.168   9.80784859E+42   1.48310238E+42
 54478.152   8.96462185E+42   1.35538105E+42
 54479.148   8.31405122E+42   1.25632626E+42
 54480.152   7.91078973E+42   1.19473922E+42
 54484.102   6.61426726E+42   9.96744689E+41
 54485.180   6.37131250E+42   9.59141352E+41
 54488.145   5.66568466E+42   8.51464950E+41
 54489.145   5.44854457E+42   8.18189758E+41
 54492.129   4.90586679E+42   7.34639964E+41
 54495.145   4.21076757E+42   6.28431555E+41
 54497.121   3.67708043E+42   5.47197603E+41
