#generated on Tue Dec 15 12:46:08 2015 using mklcbol.pro
#
#INFILE   SN2008fp_bol.dat
#NAME     SN2008fp
#AV_HOST  1.792 +/- 0.074
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.524 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.770 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54725.320   2.18324667E+43   2.09103793E+42
 54726.320   2.31333151E+43   2.21624773E+42
 54727.332   2.41064903E+43   2.31006578E+42
 54728.316   2.44782888E+43   2.34598482E+42
 54729.301   2.46207557E+43   2.35978968E+42
 54730.367   2.45362359E+43   2.35194095E+42
 54731.387   2.42868715E+43   2.32835474E+42
 54732.301   2.38495828E+43   2.28670732E+42
 54733.379   2.32117396E+43   2.22580826E+42
 54737.391   1.97701042E+43   1.89722652E+42
 54740.301   1.64080427E+43   1.57545689E+42
 54741.387   1.52985394E+43   1.46936497E+42
 54743.383   1.33357929E+43   1.28092227E+42
 54744.312   1.21358906E+43   1.16562643E+42
 54745.348   1.12902337E+43   1.08407379E+42
 54747.305   9.99988463E+42   9.59513826E+41
 54749.305   9.00364381E+42   8.63253771E+41
 54751.281   8.30125592E+42   7.95250892E+41
 54752.285   8.00028343E+42   7.65961429E+41
 54753.367   7.72286843E+42   7.39023191E+41
 54756.301   7.06387772E+42   6.74871515E+41
 54758.254   6.64668417E+42   6.34308445E+41
 54759.344   6.42988793E+42   6.13238645E+41
 54760.301   6.15409247E+42   5.86580662E+41
 54764.340   4.96684851E+42   4.73274326E+41
 54765.324   4.68024653E+42   4.45859605E+41
 54768.312   4.02251029E+42   3.83040266E+41
 54770.285   3.68681918E+42   3.51046176E+41
 54775.320   3.04192967E+42   2.90039751E+41
 54779.320   2.69098540E+42   2.56839312E+41
 54781.316   2.53570276E+42   2.42123893E+41
 54783.293   2.39518555E+42   2.28793888E+41
 54790.320   1.97936113E+42   1.89276357E+41
 54792.258   1.88043012E+42   1.79853468E+41
 54794.293   1.78701342E+42   1.70955239E+41
 54795.254   1.74827293E+42   1.67278202E+41
 54796.273   1.70516477E+42   1.63176220E+41
 54797.348   1.65982351E+42   1.58856703E+41
 54799.316   1.58250389E+42   1.51492301E+41
