#generated on Mon Dec 21 09:51:02 2015 using mklcbol.pro
#
#INFILE   SN2004gu_bol.dat
#NAME     SN2004gu
#AV_HOST  0.298 +/- 0.105
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.068 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.593 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53361.328   1.16059070E+43   3.16940277E+42
 53362.352   1.15504182E+43   3.15387887E+42
 53363.348   1.13935067E+43   3.11096931E+42
 53365.332   1.10212829E+43   3.00960282E+42
 53369.344   9.68227154E+42   2.64413591E+42
 53372.336   8.24697865E+42   2.25161032E+42
 53373.336   7.72432628E+42   2.10896763E+42
 53376.340   6.29970821E+42   1.71946889E+42
 53377.340   5.84711925E+42   1.59540757E+42
 53380.340   4.76581727E+42   1.29779318E+42
 53381.328   4.44911024E+42   1.21063870E+42
 53384.312   3.82861703E+42   1.03954048E+42
 53385.344   3.60491823E+42   9.77752590E+41
 53386.301   3.40714249E+42   9.23117527E+41
 53387.285   3.24109743E+42   8.77214325E+41
 53388.312   3.10754147E+42   8.40137709E+41
 53390.336   2.78855075E+42   7.52439823E+41
 53391.309   2.68312164E+42   7.23770002E+41
 53393.316   2.46225575E+42   6.63297087E+41
 53394.305   2.36283301E+42   6.36065642E+41
