#generated on Mon Dec 21 09:51:26 2015 using mklcbol.pro
#
#INFILE   SN2005am_bol.dat
#NAME     SN2005am
#AV_HOST  0.164 +/- 0.053
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.133 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.850 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53432.059   8.15451764E+42   1.43931149E+42
 53436.113   9.91683578E+42   1.75182312E+42
 53438.066   9.81417299E+42   1.73382316E+42
 53444.133   6.83827614E+42   1.20749519E+42
 53445.133   6.21950442E+42   1.09783345E+42
 53446.129   5.63395351E+42   9.93859600E+41
 53451.051   3.66373298E+42   6.42868964E+41
 53452.062   3.41300610E+42   5.98095380E+41
 53453.051   3.19295758E+42   5.58872095E+41
 53454.066   2.94102753E+42   5.14096274E+41
 53455.004   2.74461766E+42   4.79223915E+41
 53455.996   2.57795463E+42   4.49752266E+41
 53457.062   2.36809116E+42   4.12834882E+41
 53458.031   2.16013765E+42   3.76355123E+41
 53459.164   1.93659536E+42   3.37293276E+41
 53459.996   1.79573703E+42   3.12778266E+41
 53460.996   1.65302271E+42   2.87961982E+41
 53464.023   1.33747920E+42   2.33070464E+41
 53465.023   1.26032945E+42   2.19668781E+41
 53466.016   1.20246035E+42   2.09616548E+41
 53467.129   1.14674533E+42   1.99960709E+41
 53468.023   1.11207951E+42   1.93962372E+41
 53471.977   9.68458180E+41   1.69033568E+41
 53472.977   9.33196431E+41   1.62908598E+41
 53473.988   9.05585899E+41   1.58130373E+41
 53474.980   8.86987973E+41   1.54938468E+41
 53475.977   8.60567161E+41   1.50357988E+41
 53476.973   8.26864903E+41   1.44448260E+41
 53477.973   8.22173715E+41   1.43713964E+41
 53478.969   8.03423244E+41   1.40491950E+41
 53479.973   7.69190721E+41   1.34483660E+41
 53480.961   7.53006284E+41   1.31678459E+41
 53481.996   7.34850815E+41   1.28526407E+41
 53483.004   7.15719264E+41   1.25193904E+41
 53488.988   6.12940802E+41   1.07347632E+41
 53489.961   5.95884874E+41   1.04379504E+41
 53490.961   5.79319217E+41   1.01498978E+41
 53511.949   3.69666388E+41   6.50983593E+40
