#generated on Mon Dec 21 09:51:31 2015 using mklcbol.pro
#
#INFILE   SN2005el_bol.dat
#NAME     SN2005el
#AV_HOST  0.047 +/- 0.037
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.304 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.048 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53639.355   5.20594641E+42   5.99950564E+41
 53641.359   6.66432050E+42   7.68313700E+41
 53644.348   7.99799332E+42   9.22475319E+41
 53650.395   7.79083914E+42   8.99347379E+41
 53655.324   5.38145198E+42   6.21220083E+41
 53659.277   3.79923608E+42   4.37979830E+41
 53663.297   2.73533030E+42   3.14323989E+41
 53665.320   2.38627658E+42   2.73692335E+41
 53666.281   2.22907961E+42   2.55413600E+41
 53669.312   1.78957226E+42   2.04518921E+41
 53671.320   1.54605022E+42   1.76534117E+41
 53673.309   1.34250815E+42   1.53281425E+41
 53675.328   1.17940554E+42   1.34691026E+41
 53682.312   8.38856651E+41   9.58877243E+40
 53683.301   8.04957268E+41   9.20227794E+40
 53687.270   7.14929600E+41   8.17814523E+40
 53689.297   6.75003295E+41   7.72299938E+40
 53690.320   6.55925346E+41   7.50609638E+40
 53694.312   5.84921411E+41   6.69816260E+40
 53698.262   5.34159886E+41   6.12039061E+40
 53699.254   5.19479964E+41   5.95255103E+40
 53702.250   4.79880162E+41   5.50122115E+40
 53712.227   3.78326033E+41   4.34397971E+40
 53721.203   3.08345614E+41   3.54527532E+40
 53730.238   2.51764393E+41   2.89796733E+40
