#generated on Mon Dec 21 09:55:03 2015 using mklcbol.pro
#
#INFILE   SN2006et_bol.dat
#NAME     SN2006et
#AV_HOST  0.787 +/- 0.078
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.053 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.824 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53986.199   1.06909981E+43   1.39841371E+42
 53988.070   1.27434353E+43   1.66704291E+42
 53991.152   1.49881538E+43   1.96118190E+42
 53994.223   1.53562722E+43   2.00929666E+42
 53998.180   1.38518976E+43   1.81175230E+42
 54001.121   1.22483984E+43   1.60149285E+42
 54003.133   1.09098413E+43   1.42652448E+42
 54007.160   8.28064325E+42   1.08224311E+42
 54008.133   7.71355983E+42   1.00789922E+42
 54012.023   5.83847064E+42   7.61364324E+41
 54013.109   5.50921366E+42   7.17823521E+41
 54017.266   4.40964826E+42   5.72830520E+41
 54023.215   3.15095946E+42   4.08034531E+41
 54024.059   3.05130988E+42   3.95004662E+41
 54025.172   2.90810185E+42   3.76280058E+41
 54029.184   2.32316739E+42   3.00375620E+41
 54033.188   1.90925082E+42   2.46970212E+41
 54039.160   1.58021267E+42   2.04595353E+41
 54044.121   1.40843708E+42   1.82483938E+41
 54046.062   1.33482290E+42   1.72994569E+41
 54052.098   1.15342459E+42   1.49648195E+41
 54060.035   9.81464264E+41   1.27483950E+41
 54066.105   8.88824510E+41   1.15618655E+41
 54076.051   7.45561123E+41   9.72001298E+40
