#generated on Mon Dec 21 09:55:58 2015 using mklcbol.pro
#
#INFILE   SN2007as_bol.dat
#NAME     SN2007as
#AV_HOST  0.155 +/- 0.034
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.381 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.453 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54181.184   7.72858207E+42   6.93319332E+41
 54182.207   7.64863233E+42   6.86090109E+41
 54185.113   7.02001257E+42   6.29729227E+41
 54190.184   5.12013324E+42   4.59339620E+41
 54194.055   3.64157928E+42   3.26471846E+41
 54197.078   2.90583317E+42   2.60147738E+41
 54203.230   1.99025010E+42   1.77543125E+41
 54207.066   1.52675242E+42   1.36026214E+41
 54213.023   1.03488106E+42   9.21769099E+40
 54218.094   8.27797662E+41   7.37651548E+40
 54223.969   7.02876521E+41   6.26756704E+40
 54227.086   6.39815431E+41   5.70683070E+40
 54229.035   6.21715841E+41   5.54707081E+40
 54231.066   5.93656622E+41   5.29772102E+40
 54235.988   5.28392023E+41   4.71796057E+40
 54239.008   4.83217619E+41   4.31675713E+40
 54243.043   4.48478891E+41   4.00806734E+40
 54245.016   4.31659724E+41   3.85841270E+40
 54258.980   3.35699577E+41   3.00399010E+40
