#generated on Mon Dec 21 09:57:37 2015 using mklcbol.pro
#
#INFILE   SN2008ia_bol.dat
#NAME     SN2008ia
#AV_HOST  0.205 +/- 0.050
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.604 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.967 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54809.254   8.30650827E+42   7.27157583E+41
 54810.332   8.73409280E+42   7.64663372E+41
 54813.199   9.12856094E+42   7.99235803E+41
 54818.227   7.52500309E+42   6.58973371E+41
 54821.277   6.08593886E+42   5.32877216E+41
 54830.195   2.93421577E+42   2.56051431E+41
 54831.234   2.77807971E+42   2.42317457E+41
 54834.238   2.31477618E+42   2.01628084E+41
 54838.262   1.67374105E+42   1.45546014E+41
 54839.207   1.59616585E+42   1.38784685E+41
 54840.199   1.48830366E+42   1.29416785E+41
 54841.168   1.38497664E+42   1.20431509E+41
 54845.355   1.05188796E+42   9.15031106E+40
 54855.316   7.57456193E+41   6.59409325E+40
 54856.215   7.54224575E+41   6.56700902E+40
