1980N   0.84 0.21
1981B   1.27 0.21
1986G   0.61 0.18
1998bu  1.16 0.2
1999ac  1.05 0.2
1999ee  1.36 0.21
2000E   1.25 0.22
2000bh  1.31 0.22
2001ba	1.18 0.15
2001bt  1.11 0.2
2001cn  1.19 0.2
2001cz  1.33 0.22
2001el  1.22 0.21
2002bo  1.12 0.21
2003cg  1.19 0.22
2003hv  0.84 0.17
2004ey  1.14 0.2
2004gs  0.85 0.18
2004gu  1.42 0.23
2005A   1.08 0.2
2005al  0.97 0.21
2005na  1.28 0.22
2006D   0.99 0.19
2006X   1.1 0.2
2006ax  1.25 0.21
2006et  1.27 0.22
2006gt  0.77 0.18
2006hb  0.78 0.19
2006kf  0.94 0.19
2007S   1.41 0.22
2007af  1.16 0.2
2007as  0.94 0.25
2007bm  1.08 0.2
2007le  1.21 0.2
2007nq  0.92 0.2
2008C   1.28 0.23
2008fp  1.22 0.21
2014J   1.32 0.22
