SN2002cv 8.99		0.3
SN2004ef  0.427005834623 0.137472985335
SN2004eo  0.113515078288 0.117001114666
SN2004ey  0.0593232325563 0.0788429055658
SN2004gc  0.555210121108 0.296362826617
SN2004gs  0.39783932495 0.13117392181
SN2004gu  0.202967155958 0.118986866689
SN2005A  2.14557814169 0.119173091754
SN2005M  0.205860835702 0.128642706648
SN2005W  0.581427263087 0.242355900815
SN2005ag  0.179648415628 0.102161474686
SN2005al  0.0793180608562 0.052718554846
SN2005am  0.176443772006 0.0921307896793
SN2005bg  0.177925310731 0.128011525496
SN2005bl  0.485835181739 0.354103705344
SN2005bo  0.849395275782 0.365204627742
SN2005el  0.0519791485949 0.0454992785069
SN2005eq  0.155292482722 0.107310821938
SN2005hc  0.186555564591 0.0926213901515
SN2005hj  0.241715502506 0.106691470523
SN2005iq  0.144817956162 0.0757692496963
SN2005ir  0.186037937815 0.0975899109582
SN2005kc  0.776126916176 0.13237304764
SN2005ke  0.211712383355 0.10984704873
SN2005ki  0.0541203510467 0.0457059546993
SN2005ku  0.296405636432 0.170366004586
SN2005lu  0.615779098576 0.293306641525
SN2005mc  0.531308491356 0.259210228768
SN2005na  0.151383632716 0.124114087967
SN2006D  0.332553438283 0.118662771577
SN2006X  2.44892760688 0.141414196302
SN2006ax  0.0467207171563 0.0434880162037
SN2006bd  0.0835501895436 0.130893133579
SN2006bh  0.140268110983 0.0791167872365
SN2006br  2.15461573507 0.215693487429
SN2006ef  0.11808866972 0.12773888901
SN2006ej  0.188581691091 0.143273663123
SN2006eq  0.275664312678 0.155530164422
SN2006et  0.479540693995 0.130538634572
SN2006ev  0.596558729174 0.219996522153
SN2006fw  0.778478582794 0.365360821067
SN2006gj  0.738179360268 0.16059067959
SN2006gt  0.151616702823 0.0845263150519
SN2006hb  0.0957864574767 0.0615865366137
SN2006hx  0.442119480244 0.312336563663
SN2006kf  0.131038594764 0.0702429382123
SN2006lu  0.0938188149089 0.093169173919
SN2006mr  0.257570741 0.133373120478
SN2006ob  0.190543831222 0.0814096192088
SN2006os  0.940654099487 0.172877026506
SN2006py  0.367774881222 0.177353936209
SN2007A  0.644350570565 0.139092486573
SN2007N  0.526592124259 0.15949782476
SN2007S  0.908412944067 0.103341409184
SN2007af  0.372597157462 0.114827871663
SN2007ai  0.688603757163 0.168346189997
SN2007as  0.200179858578 0.0732758194517
SN2007ax  0.551429780423 0.200811714367
SN2007ba  0.105479888515 0.107305678199
SN2007bc  0.372076658481 0.110197400593
SN2007bd  0.123190202295 0.134719939296
SN2007bm  1.09147577034 0.125817777448
SN2007ca  1.01336875896 0.15318588266
SN2007hx  0.666990471165 0.235237818233
SN2007jg  0.270435249562 0.1206149717
SN2007jh  0.358206804149 0.185146899366
SN2007le  0.657900374312 0.0854119919527
SN2007mm  0.323122580407 0.184997210414
SN2007nq  0.206860007129 0.0949105467597
SN2008C  0.40943462361 0.175334193017
SN2008R  0.0285412470945 0.0399858067102
SN2008bq  0.271237623638 0.115924502924
SN2008fp  0.980633599744 0.119413748473
SN2008gp  0.068879380072 0.0818140805809
SN2008hv  0.153293942302 0.143791943802
SN2008ia  0.250245652776 0.112776607555
SN2009F  0.106320674933 0.144030247843
