2004ef CSP 0.030(0.001) 53264.17(0.05) 1.0000 −1.274(0.043) 0.076(0.021) 16.595(0.036) 35.530(0.189) 0.044(0.007)
2004eo CSP 0.015(0.001) 53278.34(0.04) 0.9970 −1.151(0.040) 0.002(0.024) 14.791(0.059) 33.979(0.171) 0.081(0.013)
2004ey CSP 0.016(0.001) 53304.48(0.06) 1.0000 0.051(0.042) −0.103(0.025) 14.468(0.071) 34.159(0.170) 0.103(0.016)
2004gs CSP 0.027(0.001) 53355.60(0.14) 0.5630 −1.682(0.056) 0.126(0.022) 16.886(0.027) 35.603(0.138) 0.025(0.004)
2004gu CSP 0.047(0.001) 53362.46(0.23) 1.0000 1.320(0.116) 0.059(0.021) 17.162(0.025) 36.512(0.128) 0.021(0.003)
2005M CSP 0.023(0.001) 53406.15(0.06) 1.0000 1.170(0.063) −0.021(0.020) 15.645(0.025) 35.233(0.202) 0.025(0.004)
2005ag CSP 0.080(0.001) 53415.11(0.17) 1.0000 0.134(0.080) −0.043(0.025) 18.201(0.030) 37.713(0.127) 0.033(0.005)
2005al CSP 0.012(0.001) 53430.65(0.18) 1.0000 −1.183(0.056) −0.090(0.022) 14.611(0.037) 34.089(0.193) 0.044(0.007)
2005bg CSP 0.025(0.001) 53470.15(0.27) 0.7460 0.288(0.120) −0.051(0.021) 15.595(0.028) 35.155(0.141) 0.026(0.004)
2005bo CSP 0.014(0.001) 53478.56(0.30) 1.0000 −0.940(0.169) 0.200(0.023) 15.372(0.036) 33.956(0.179) 0.037(0.006)
2005el CSP 0.015(0.001) 53646.64(0.09) 0.9960 −1.212(0.077) −0.141(0.025) 14.589(0.062) 34.224(0.245) 0.084(0.013)
2005eq CSP 0.029(0.001) 53654.93(0.21) 1.0000 1.232(0.107) −0.023(0.023) 16.002(0.046) 35.602(0.194) 0.060(0.010)
2005hc CSP 0.045(0.001) 53667.75(0.13) 1.0000 0.691(0.088) −0.023(0.021) 17.046(0.025) 36.570(0.179) 0.024(0.004)
2005hj CSP 0.057(0.001) 53674.46(0.38) 0.3750 1.419(0.187) −0.029(0.023) 17.466(0.027) 37.114(0.186) 0.025(0.004)
2005ir CSP 0.075(0.001) 53685.50(0.22) 0.6950 0.399(0.170) −0.005(0.022) 18.171(0.026) 37.598(0.177) 0.025(0.004)
2005iq CSP 0.034(0.001) 53687.65(0.09) 1.0000 −1.001(0.074) −0.108(0.021) 16.498(0.023) 36.058(0.186) 0.018(0.003)
2005kc CSP 0.015(0.001) 53697.70(0.06) 0.9990 −0.696(0.072) 0.148(0.026) 15.268(0.070) 34.053(0.247) 0.098(0.016)
2005ki CSP 0.020(0.001) 53705.32(0.09) 0.9300 −1.349(0.056) −0.101(0.022) 15.275(0.028) 34.765(0.214) 0.026(0.004)
2005mc CSP 0.026(0.001) 53731.24(0.34) 0.9020 −1.802(0.073) 0.192(0.025) 16.766(0.043) 35.256(0.203) 0.036(0.006)
2005na CSP 0.027(0.001) 53741.13(0.14) 0.2010 −0.584(0.062) −0.096(0.023) 15.684(0.048) 35.265(0.197) 0.063(0.010)
2006ax CSP 0.017(0.001) 53827.53(0.04) 1.0000 0.122(0.049) −0.097(0.020) 14.744(0.034) 34.425(0.225) 0.040(0.006)
2006bh CSP 0.011(0.001) 53833.42(0.10) 1.0000 −1.545(0.058) −0.064(0.021) 14.089(0.025) 33.431(0.207) 0.021(0.003)
2006ej CSP 0.020(0.001) 53976.06(0.32) 1.0000 −1.421(0.081) −0.030(0.024) 15.438(0.035) 34.689(0.154) 0.028(0.005)
2006ev CSP 0.028(0.001) 53989.44(0.31) 1.0000 −1.261(0.079) 0.097(0.027) 16.811(0.060) 35.681(0.140) 0.073(0.012)
2006et CSP 0.022(0.001) 53994.20(0.07) 1.0000 0.676(0.070) 0.130(0.020) 15.702(0.023) 34.737(0.205) 0.015(0.002)
2006kf CSP 0.021(0.001) 54040.91(0.14) 0.9980 −1.827(0.090) −0.049(0.037) 15.662(0.120) 34.918(0.225) 0.182(0.029)
2006ob CSP 0.059(0.001) 54063.10(0.25) 0.9990 −1.884(0.145) −0.052(0.027) 17.930(0.032) 37.189(0.192) 0.027(0.004)
2006ot CSP 0.052(0.001) 54063.66(0.47) 0.0458 0.695(0.138) 0.101(0.023) 17.703(0.031) 36.832(0.129) 0.018(0.003)
2006py CSP 0.057(0.001) 54070.95(0.44) 0.9740 0.076(0.348) −0.001(0.025) 17.608(0.042) 36.976(0.132) 0.053(0.008)
2007A CSP 0.017(0.001) 54113.18(0.16) 0.9920 0.561(0.214) 0.090(0.025) 15.397(0.048) 34.541(0.236) 0.059(0.010)
2007ai CSP 0.032(0.001) 54173.80(0.37) 1.0000 0.976(0.156) 0.156(0.044) 16.901(0.143) 35.895(0.216) 0.215(0.034)
2007as CSP 0.018(0.001) 54181.66(0.22) 0.0177 −0.890(0.082) −0.094(0.027) 15.183(0.082) 34.714(0.153) 0.124(0.020)
2007bc CSP 0.022(0.001) 54200.46(0.22) 1.0000 −1.109(0.092) 0.036(0.023) 15.651(0.025) 34.736(0.212) 0.018(0.003)
2007bd CSP 0.032(0.001) 54206.84(0.07) 0.8540 −0.953(0.072) −0.067(0.022) 16.273(0.029) 35.708(0.190) 0.027(0.004)
2007ca CSP 0.015(0.001) 54227.80(0.08) 0.9970 0.573(0.076) 0.200(0.023) 15.628(0.042) 34.422(0.242) 0.053(0.008)
2007hx CSP 0.079(0.001) 54354.56(0.43) 0.6350 0.139(0.174) 0.116(0.025) 19.018(0.029) 38.022(0.131) 0.022(0.004)
2007jh CSP 0.041(0.001) 54366.71(0.16) 0.4850 −0.517(0.098) −0.018(0.028) 17.031(0.057) 36.370(0.133) 0.077(0.012)
2007jg CSP 0.037(0.001) 54366.77(0.16) 0.1420 −0.616(0.098) 0.043(0.023) 17.086(0.055) 36.219(0.182) 0.079(0.013)
2007nq CSP 0.044(0.001) 54398.17(0.25) 1.0000 −1.784(0.090) −0.019(0.024) 17.149(0.030) 36.316(0.185) 0.022(0.004)
2008R CSP 0.013(0.001) 54493.00(0.26) 0.4100 −2.000(0.084) 0.036(0.025) 14.968(0.045) 33.927(0.190) 0.053(0.008)
2008bc CSP 0.016(0.001) 54550.14(0.05) 0.9220 0.430(0.058) −0.146(0.044) 14.178(0.166) 34.060(0.163) 0.292(0.047)
2008bq CSP 0.034(0.001) 54563.89(0.22) 1.0000 0.245(0.082) 0.061(0.024) 16.479(0.055) 35.674(0.131) 0.075(0.012)
2008gp CSP 0.033(0.001) 54779.20(0.06) 0.9990 −0.178(0.054) −0.073(0.025) 16.175(0.063) 35.741(0.132) 0.090(0.014)
2008ia CSP 0.023(0.001) 54813.07(0.14) 0.9840 −1.308(0.081) −0.029(0.032) 15.702(0.103) 34.967(0.146) 0.159(0.025)
2008hv CSP 0.014(0.001) 54817.02(0.06) 0.9910 −1.260(0.064) −0.072(0.021) 14.460(0.028) 33.870(0.254) 0.026(0.004)
