SNF~20060907-000  1.01 0.56
SNF~20061020-000  0.99 0.34
SNF~20070506-006  1.53 0.71
SNF~20070701-005  1.31 0.83
SNF~20070810-004  1.35 0.4
SNF~20070817-003  1.04 0.33
SNF~20070902-018  1.18 0.36
SNF~20080522-011  1.4 0.61
SNF~20080620-000  1.14 0.32
SNF~20080717-000  1.46 0.8
SNF~20080803-000  1.34 0.61
SNF~20080913-031  1.1 0.43
SNF~20080918-004  0.92 0.3
SN~2005el         0.9 0.52
SN~2007cq         1.17 0.53
SN~2008ec         1.02 0.34
SN~2011fe         1.19 0.42
PTF09dlc          1.24 0.48
PTF09dnl          1.33 0.48
