#generated on Fri Dec 25 13:23:22 2015 using mklcbol.pro
#
#INFILE   99by_bol.dat
#NAME     SN1999by
#AV_HOST  0.000 +/- 0.060
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.040 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.820 +/- 0.180
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
  1304.670   1.10360647E+42   1.29374132E+41
  1305.680   1.25799200E+42   1.47472517E+41
  1306.670   1.39621467E+42   1.63676152E+41
  1307.640   1.50435852E+42   1.76353694E+41
  1308.630   1.56942915E+42   1.83981826E+41
  1309.630   1.60420240E+42   1.88058243E+41
  1310.730   1.60549403E+42   1.88209658E+41
  1311.640   1.56994858E+42   1.84042718E+41
  1312.700   1.48777879E+42   1.74410077E+41
  1313.660   1.38778106E+42   1.62687494E+41
  1314.650   1.26873041E+42   1.48731364E+41
  1315.680   1.14427234E+42   1.34141331E+41
  1316.650   1.03006966E+42   1.20753522E+41
  1318.650   8.41771544E+41   9.86796160E+40
  1335.690   2.52338792E+41   2.95812983E+40
  1338.660   2.20493168E+41   2.58480835E+40
  1340.660   2.03054598E+41   2.38037861E+40
  1342.670   1.87029306E+41   2.19251652E+40
  1348.660   1.50943173E+41   1.76948419E+40
  1350.650   1.41132371E+41   1.65447363E+40
  1487.970   4.69942799E+39   5.50906897E+38
  1521.990   2.54931199E+39   2.98852022E+38
