#generated on Mon Jan  4 12:11:47 2016 using mklcbol.pro
#
#INFILE   99by_bol.dat
#NAME     SN1999by
#AV_HOST  0.000 +/- 0.060
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.040 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.820 +/- 0.180
#NFILT    5 (U_Bessell,B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
  1304.670   1.28506055E+42   1.50645721E+41
  1305.680   1.45184964E+42   1.70198157E+41
  1306.670   1.59912663E+42   1.87463218E+41
  1307.640   1.71034067E+42   2.00500673E+41
  1308.630   1.77218995E+42   2.07751171E+41
  1309.630   1.79786376E+42   2.10760873E+41
  1310.730   1.78113376E+42   2.08799640E+41
  1311.640   1.72552254E+42   2.02280421E+41
  1312.700   1.62096739E+42   1.90023576E+41
  1313.660   1.50045583E+42   1.75896187E+41
  1314.650   1.36421301E+42   1.59924645E+41
  1315.680   1.22300297E+42   1.43370805E+41
  1316.650   1.09701553E+42   1.28601485E+41
  1318.650   8.92330110E+41   1.04606521E+41
  1335.690   2.69889196E+41   3.16387058E+40
  1338.660   2.36889936E+41   2.77702520E+40
  1340.660   2.18318927E+41   2.55932005E+40
  1342.670   2.01989521E+41   2.36789287E+40
  1348.660   1.65156460E+41   1.93610442E+40
  1350.650   1.55205201E+41   1.81944730E+40
  1487.970   5.07128740E+39   5.94499418E+38
