#generated on Sun Dec 27 15:43:43 2015 using mklcbol.pro
#
#INFILE   99by_bol.dat
#NAME     SN1999by
#AV_HOST  0.000 +/- 0.060
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.040 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.820 +/- 0.180
#NFILT    7 (U_Bessell,B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_MKO,H_MKO)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
  1304.670   1.79716517E+42   2.10678979E+41
  1305.680   2.03504324E+42   2.38565068E+41
  1306.670   2.24932014E+42   2.63684427E+41
  1307.640   2.41544221E+42   2.83158668E+41
  1308.630   2.52273517E+42   2.95736462E+41
  1309.630   2.58480514E+42   3.03012831E+41
  1310.730   2.58883744E+42   3.03485532E+41
  1311.640   2.54387119E+42   2.98214206E+41
  1312.700   2.43683243E+42   2.85666212E+41
  1313.660   2.30322723E+42   2.70003875E+41
  1314.650   2.14442228E+42   2.51387409E+41
  1315.680   1.97885508E+42   2.31978215E+41
  1316.650   1.82646878E+42   2.14114197E+41
  1318.650   1.54930889E+42   1.81623158E+41
  1320.710   1.29123721E+42   1.51369802E+41
  1322.710   1.11997050E+42   1.31292463E+41
  1324.640   9.83683251E+41   1.15315713E+41
  1326.630   8.65084237E+41   1.01412528E+41
  1327.670   8.01453342E+41   9.39531737E+40
  1328.640   7.50847889E+41   8.80207722E+40
  1330.670   6.67982471E+41   7.83065836E+40
