#generated on Thu Dec 17 18:17:34 2015 using mklcbol.pro
#
#INFILE   iptf13ebh_bol.dat
#NAME     iptf13ebh
#AV_HOST  0.150 +/- 0.060
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.207 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.630 +/- 0.180
#NFILT    8 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 56611.141   8.91089237E+41   1.69269716E+41
 56612.141   1.33966701E+42   2.54800231E+41
 56613.121   1.89685877E+42   3.61143468E+41
 56613.191   1.94444633E+42   3.70235750E+41
 56614.102   2.56218559E+42   4.88197516E+41
 56615.129   3.37447933E+42   6.43450544E+41
 56617.109   5.08606392E+42   9.71068672E+41
 56617.121   5.09835847E+42   9.73503290E+41
 56618.121   5.91193153E+42   1.12934621E+42
 56619.102   6.56133889E+42   1.25382800E+42
 56620.109   6.98350023E+42   1.33507664E+42
 56621.109   7.32129920E+42   1.40028542E+42
 56622.102   7.50701350E+42   1.43647370E+42
 56623.090   7.50292455E+42   1.43637541E+42
 56623.141   7.48876010E+42   1.43386209E+42
 56624.070   7.40023197E+42   1.41698800E+42
 56625.090   7.15360813E+42   1.36928372E+42
 56630.078   5.15551085E+42   9.82620147E+41
 56631.090   4.80282414E+42   9.14243495E+41
 56632.090   4.46453068E+42   8.48741847E+41
 56633.078   4.14521912E+42   7.86957441E+41
 56635.078   3.64839712E+42   6.90860780E+41
 56636.078   3.45816505E+42   6.54027513E+41
 56637.070   3.28756652E+42   6.21107381E+41
 56638.051   3.14643925E+42   5.93712777E+41
 56638.102   3.15119596E+42   5.94630616E+41
 56640.059   2.85440908E+42   5.37791021E+41
 56641.090   2.69963123E+42   5.08221621E+41
 56644.051   2.28964152E+42   4.30153525E+41
 56645.051   2.15679192E+42   4.04970029E+41
 56646.051   2.03147464E+42   3.81313410E+41
 56647.051   1.91201147E+42   3.58749459E+41
 56648.031   1.82897994E+42   3.43025698E+41
 56648.051   1.82667552E+42   3.42609849E+41
 56649.051   1.72619093E+42   3.23771859E+41
 56650.039   1.61422098E+42   3.02889214E+41
 56651.070   1.49430781E+42   2.80491263E+41
 56652.090   1.40373296E+42   2.63564988E+41
 56653.031   1.34646003E+42   2.52874803E+41
 56653.039   1.35918946E+42   2.55257158E+41
 56654.039   1.30727380E+42   2.45508741E+41
